Protein accession	Degree	Protein description	Gene name	Regulated Type	Ratio
A0A8V0YVT3	7	Kinesin-like protein OS=Gallus gallus OX=9031 GN=KIF3A PE=1 SV=1	KIF3A	Down	0.630165123684599
A0A8V1A3Y0	7	VWFD domain-containing protein OS=Gallus gallus OX=9031 GN=MUC5L PE=4 SV=1	MUC5L	Up	1.5789644340339657
A0A1L1RIY4	7	Argininosuccinate lyase OS=Gallus gallus OX=9031 GN=ASL PE=3 SV=2	ASL	Up	1.6472108180346012
A0A8V0Y079	7	AP-1 complex subunit gamma OS=Gallus gallus OX=9031 GN=AP1G1 PE=1 SV=1	AP1G1	Up	1.5397477444581371
A0A8V0ZT48	7	HYDIN, axonemal central pair apparatus protein OS=Gallus gallus OX=9031 GN=HYDIN PE=4 SV=1	HYDIN	Down	0.3653436397858305
A0A8V1AFZ6	7	Heteroous nuclear ribonucleoprotein M OS=Gallus gallus OX=9031 GN=HNRNPM PE=1 SV=1	HNRNPM	Up	5.952240182252115
A0A8V0YM29	7	U2 snRNP associated SURP domain containing OS=Gallus gallus OX=9031 GN=U2SURP PE=1 SV=1	U2SURP	Up	2.7453552645123294
A0A8V0X4D8	7	furin OS=Gallus gallus OX=9031 GN=FURIN PE=3 SV=1	FURIN	Down	0.4035629783529437
A0A8V1AG56	7	Protein Wnt OS=Gallus gallus OX=9031 GN=WNT5A PE=3 SV=1	WNT5A	Down	0.3196116689366824
A0A8V1ACH5	7	Inositol polyphosphate-5-phosphatase E OS=Gallus gallus OX=9031 GN=INPP5E PE=4 SV=1	INPP5E	Up	1.8188647211044515
Q00649	7	Heat shock protein beta-1 OS=Gallus gallus OX=9031 GN=HSPB1 PE=2 SV=1	HSPB1	Down	0.5969537382861132
A0A8V1AJ90	7	Tripartite motif containing 25 OS=Gallus gallus OX=9031 GN=TRIM25 PE=1 SV=1	TRIM25	Down	0.642354224144359
A0A8V0YJV4	7	Aldo-keto reductase family 1 member B1 OS=Gallus gallus OX=9031 GN=AKR1B1 PE=1 SV=1	AKR1B1	Down	0.4114304243532344
A0A8V1AAC8	7	H(+)-transporting two-sector ATPase OS=Gallus gallus OX=9031 GN=LOC776719 PE=3 SV=1	LOC776719	Up	1.59042093825575
A0A8V0Y8W7	7	ATPase H+ transporting V1 subunit E1 OS=Gallus gallus OX=9031 GN=ATP6V1E1 PE=1 SV=1	ATP6V1E1	Up	1.8317002916667295
A0A8V0X5B9	7	Fibroblast growth factor receptor OS=Gallus gallus OX=9031 GN=FGFR2 PE=3 SV=1	FGFR2	Up	1.9653943764605373
A0A8V0YNC4	7	Kininogen 1 OS=Gallus gallus OX=9031 GN=KNG1 PE=1 SV=1	KNG1	Up	1.8663093881873465
A0A8V0XB82	7	Protein transport protein Sec31A OS=Gallus gallus OX=9031 GN=SEC31A PE=1 SV=1	SEC31A	Up	1.7359705767698852
A0A8V0XGH4	7	Protein disulfide-isomerase A6 OS=Gallus gallus OX=9031 GN=PDIA6 PE=1 SV=1	PDIA6	Up	1.8482146797899104
Q5ZMJ6	7	ADP/ATP translocase OS=Gallus gallus OX=9031 GN=SLC25A4 PE=1 SV=1	SLC25A4	Up	6.416168150826429
A0A8V0XYP5	7	Heterogeneous nuclear ribonucleoprotein U OS=Gallus gallus OX=9031 GN=HNRNPU PE=1 SV=1	HNRNPU	Up	1.909655175931168
A0A8V0XZQ2	7	Protein disulfide-isomerase OS=Gallus gallus OX=9031 GN=PDIA4 PE=1 SV=1	PDIA4	Up	1.5589650865193958
Q5ZHL0	7	V-type proton ATPase subunit d 2 OS=Gallus gallus OX=9031 GN=ATP6V0D2 PE=2 SV=1	ATP6V0D2	Down	0.560750171762281
A0A8V0YGA1	7	Heteroous nuclear ribonucleoprotein R OS=Gallus gallus OX=9031 GN=HNRNPR PE=1 SV=1	HNRNPR	Up	2.2249712267954878
A0A8V0X8M0	7	Protein kinase X-linked OS=Gallus gallus OX=9031 GN=PRKX PE=3 SV=1	PRKX	Up	2.190341680858336
A0A1L1RM08	7	Myosin, light chain 12A, regulatory, non-sarcomeric OS=Gallus gallus OX=9031 GN=MYL12A PE=4 SV=1	MYL12A	Up	4.343871077617406
A0A8V0Z8Y2	7	Destrin OS=Gallus gallus OX=9031 GN=DSTN PE=1 SV=1	DSTN	Up	2.020002973498693
A0A3Q2UGG0	7	IQ motif containing GTPase activating protein 2 OS=Gallus gallus OX=9031 GN=IQGAP2 PE=1 SV=1	IQGAP2	Up	2.4971297633397382
A0A8V0XD01	7	USO1 vesicle transport factor OS=Gallus gallus OX=9031 GN=USO1 PE=1 SV=1	USO1	Up	6.648517554655265
H9L0D7	7	Wiskott-Aldrich syndrome protein family member OS=Gallus gallus OX=9031 GN=WASF2 PE=1 SV=2	WASF2	Up	1.9023383648896253
A0A8V0Z5C2	7	Bone morphogenetic protein 4 OS=Gallus gallus OX=9031 GN=BMP4 PE=3 SV=1	BMP4	Up	1.7498621824227245
P25155	7	Coagulation factor X OS=Gallus gallus OX=9031 GN=F10 PE=1 SV=1	F10	Up	2.2600748048442827
A0A8V1A102	7	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex OS=Gallus gallus OX=9031 GN=PDHX PE=1 SV=1	PDHX	Up	6.19505748645434
A0A8V0Y722	7	Intraflagellar transport protein 56 OS=Gallus gallus OX=9031 GN=TTC26 PE=3 SV=1	TTC26	Down	0.581716653208203
A0A8V0YKA1	7	Aldo-keto reductase family 1 member B10 OS=Gallus gallus OX=9031 GN=AKR1B10 PE=1 SV=1	AKR1B10	Down	0.6515651807371472
A0A1D5NZT1	7	Intraflagellar transport 80 OS=Gallus gallus OX=9031 GN=IFT80 PE=1 SV=2	IFT80	Down	0.3519587147558101
A0A8V0ZTA0	7	Prohibitin-2 OS=Gallus gallus OX=9031 GN=PHB2 PE=3 SV=1	PHB2	Up	1.6079840597704969
A0A8V0Y8A2	7	ADP-ribosylation factor GTPase-activating protein 3 OS=Gallus gallus OX=9031 GN=ARFGAP3 PE=1 SV=1	ARFGAP3	Up	4.232547732696898
Q5ZJ23	7	Argininosuccinate synthase OS=Gallus gallus OX=9031 GN=ASS1 PE=2 SV=1	ASS1	Up	2.5162189900034573
A0A8V0YEQ1	7	WD repeat domain 19 OS=Gallus gallus OX=9031 GN=WDR19 PE=1 SV=1	WDR19	Down	0.5540728963589676
A0A8V1A5Y9	6	Phosphoinositide phospholipase C OS=Gallus gallus OX=9031 GN=PLCD1 PE=1 SV=1	PLCD1	Up	1.6896705833102332
A0A1L1RX77	6	Decorin OS=Gallus gallus OX=9031 GN=DCN PE=3 SV=2	DCN	Down	0.665441505497795
A0A1D5PK92	6	Monoglyceride lipase OS=Gallus gallus OX=9031 GN=MGLL PE=1 SV=1	MGLL	Up	1.68719076415613
Q98938	6	Indian hedgehog protein OS=Gallus gallus OX=9031 GN=IHH PE=2 SV=1	IHH	Down	0.6210154397173417
A0A8V0ZZU2	6	Vesicle-fusing ATPase OS=Gallus gallus OX=9031 GN=NSF PE=1 SV=1	NSF	Up	2.2137430758589423
A0A8V0XYR2	6	Endothelin-1 OS=Gallus gallus OX=9031 GN=EDN1 PE=3 SV=1	EDN1	Down	0.3646805764680577
A0A8V0ZS72	6	Prohibitin OS=Gallus gallus OX=9031 GN=PHB1 PE=1 SV=1	PHB1	Up	3.848680948286143
A0A8V0XWE1	6	Rab GDP dissociation inhibitor OS=Gallus gallus OX=9031 GN=GDI1 PE=1 SV=1	GDI1	Up	1.6630936014894715
F1NWX0	6	Tubulin alpha chain OS=Gallus gallus OX=9031 GN=TUBA3E PE=3 SV=3	TUBA3E	Up	3.4720700036821235
A0A8V0ZUX9	6	Ubiquitin carboxyl-terminal hydrolase OS=Gallus gallus OX=9031 GN=USP5 PE=1 SV=1	USP5	Up	1.7574836371154805
A0A8V0XGW5	6	Apovitellenin-1 OS=Gallus gallus OX=9031 GN=APOV1 PE=1 SV=1	APOV1	Up	4.627184838455605
A0A8V0Y699	6	Talin 1 OS=Gallus gallus OX=9031 GN=TLN1 PE=1 SV=1	TLN1	Up	2.006952239265377
A0A8V1ABC8	6	Myeloid differentiation primary response protein MyD88 OS=Gallus gallus OX=9031 GN=MYD88 PE=4 SV=1	MYD88	Down	0.3388744512391729
A0A8V0XMD4	6	Crystallin lambda 1 OS=Gallus gallus OX=9031 GN=CRYL1 PE=1 SV=1	CRYL1	Down	0.6064284991583808
A0A8V1ABC9	6	Protein kinase C OS=Gallus gallus OX=9031 GN=PRKCA PE=1 SV=1	PRKCA	Down	0.34891123858404405
Q5ZLG7	6	ADP/ATP translocase OS=Gallus gallus OX=9031 GN=SLC25A6 PE=1 SV=1	SLC25A6	Up	2.403747072599532
A0A8V0YCH8	6	Clathrin light chain OS=Gallus gallus OX=9031 GN=CLTA PE=1 SV=1	CLTA	Up	2.4774786744970907
A0A8V1A4F4	6	Dynein axonemal heavy chain 1 OS=Gallus gallus OX=9031 GN=DNAH1 PE=1 SV=1	DNAH1	Down	0.5179732681152821
A0A8V0ZIZ5	6	Glutathione hydrolase OS=Gallus gallus OX=9031 GN=GGT7 PE=1 SV=1	GGT7	Down	0.4837007677092255
A0A8V0YJ12	6	Heteroous nuclear ribonucleoprotein H1 OS=Gallus gallus OX=9031 GN=HNRNPH1 PE=1 SV=1	HNRNPH1	Up	2.829792494282777
A0A1D5PP34	6	Exocyst complex component 7 OS=Gallus gallus OX=9031 GN=EXOC7 PE=1 SV=2	EXOC7	Up	2.7460936239055598
O93277	6	WD repeat-containing protein 1 OS=Gallus gallus OX=9031 GN=WDR1 PE=2 SV=1	WDR1	Up	1.5967979772132903
A0A8V0ZUI9	6	Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma OS=Gallus gallus OX=9031 GN=PIP4K2C PE=4 SV=1	PIP4K2C	Up	1.719296186699974
A0A8V0YGQ5	6	Suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudo 5 OS=Gallus gallus OX=9031 GN=ST13P5 PE=3 SV=1	ST13P5	Down	0.6511057322037628
A0A8V0Z4R1	6	S-adenosylmethionine synthase OS=Gallus gallus OX=9031 GN=MAT2L2 PE=3 SV=1	MAT2L2	Down	0.4725258971050586
A0A8V0YWL6	6	MICOS complex subunit MIC60 OS=Gallus gallus OX=9031 GN=IMMT PE=1 SV=1	IMMT	Up	3.7659010536558437
A0A8V0ZVA8	6	Exportin-2 OS=Gallus gallus OX=9031 GN=CSE1L PE=1 SV=1	CSE1L	Up	1.8275204560061309
A0A1L1RPJ2	6	Dual specificity mitogen-activated protein kinase kinase 1 OS=Gallus gallus OX=9031 GN=MAP2K1 PE=1 SV=2	MAP2K1	Up	1.5416439950902858
A0A8V0XJG4	6	Sorting nexin OS=Gallus gallus OX=9031 GN=SNX32 PE=1 SV=1	SNX32	Up	1.724819699021037
A0A8V0Y1A4	6	ADAM metallopeptidase with thrombospondin type 1 motif 1 OS=Gallus gallus OX=9031 GN=ADAMTS1 PE=4 SV=1	ADAMTS1	Down	0.6069096496094917
A0A3Q2U1A5	5	Catenin delta 1 OS=Gallus gallus OX=9031 GN=CTNND1 PE=1 SV=1	CTNND1	Up	3.4637958869592764
A0A1D5PSI2	5	Inosine-5'-monophosphate dehydrogenase OS=Gallus gallus OX=9031 GN=IMPDH2 PE=1 SV=1	IMPDH2	Up	1.9329011518885613
A0A8V0WZJ4	5	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase OS=Gallus gallus OX=9031 GN=B3GAT3 PE=3 SV=1	B3GAT3	Down	0.5243230366848486
Q5ZKN2	5	Membrane-associated progesterone receptor component 1 OS=Gallus gallus OX=9031 GN=PGRMC1 PE=2 SV=3	PGRMC1	Up	3.2768731538877565
A0A8V0ZS88	5	Glypican-1 OS=Gallus gallus OX=9031 GN=GPC1 PE=1 SV=1	GPC1	Up	1.5437769239725232
A0A8V0XJ84	5	Transforming growth factor beta-3 proprotein OS=Gallus gallus OX=9031 GN=TGFB3 PE=3 SV=1	TGFB3	Down	0.6360601193537544
A0A8V0X1D0	5	Importin subunit alpha OS=Gallus gallus OX=9031 GN=KPNA4 PE=1 SV=1	KPNA4	Up	2.2567611212157273
A0A8V0XM58	5	Bardet-Biedl syndrome 7 OS=Gallus gallus OX=9031 GN=BBS7 PE=4 SV=1	BBS7	Down	0.4705100862167522
A0A1D5NZ82	5	ADAM metallopeptidase with thrombospondin type 1 motif, 10 OS=Gallus gallus OX=9031 GN=ADAMTS10 PE=4 SV=2	ADAMTS10	Down	0.2794953366749949
O13113	5	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 OS=Gallus gallus OX=9031 GN=DAD1 PE=2 SV=1	DAD1	Up	1.9750818938607195
A0A1D5NWL9	5	Hydroxysteroid 17-beta dehydrogenase 4 OS=Gallus gallus OX=9031 GN=HSD17B4 PE=1 SV=1	HSD17B4	Up	2.9714425333507632
A0A1D5PQV0	5	Cytoplasmic aconitate hydratase OS=Gallus gallus OX=9031 GN=ACO1 PE=3 SV=1	ACO1	Down	0.5525787276201259
A0A8V0YEZ4	5	Somatostatin 1 OS=Gallus gallus OX=9031 GN=SST1 PE=3 SV=1	SST1	Down	0.5612038984714627
E1C9J2	5	Mesencephalic astrocyte derived neurotrophic factor OS=Gallus gallus OX=9031 GN=MANF PE=1 SV=3	MANF	Up	1.6842405733702008
A0A8V0Z5C6	5	Serine/threonine-protein phosphatase OS=Gallus gallus OX=9031 GN=PPP1CB PE=1 SV=1	PPP1CB	Up	1.650058990249658
A0A8V0XNV9	5	Ubiquitin-conjugating enzyme E2 variant 2 OS=Gallus gallus OX=9031 GN=UBE2V2 PE=1 SV=1	UBE2V2	Up	2.0163751309895317
A0A8V1A9H2	5	Spectrin alpha, non-erythrocytic 1 OS=Gallus gallus OX=9031 GN=SPTAN1 PE=1 SV=1	SPTAN1	Up	2.9649255136617025
A0A8V0YU84	5	Apolipoprotein D OS=Gallus gallus OX=9031 GN=APOD PE=1 SV=1	APOD	Up	2.018709181084576
A0A8V0ZQ95	5	Tubulin alpha chain OS=Gallus gallus OX=9031 GN=TUBA4AL PE=1 SV=1	TUBA4AL	Up	1.5127469208672726
A0A8V0YRF2	5	E3 ubiquitin-protein ligase XIAP OS=Gallus gallus OX=9031 GN=BIRC8 PE=1 SV=1	BIRC8	Down	0.12470819804821515
P09644	5	Tubulin alpha-5 chain OS=Gallus gallus OX=9031 PE=3 SV=1	--	Up	2.9057693317234503
A0A8V0XZQ1	5	Nebulin OS=Gallus gallus OX=9031 GN=NEB PE=4 SV=1	NEB	Down	0.6139022121852923
Q5ZLF6	5	Transmembrane p24 trafficking protein 7 OS=Gallus gallus OX=9031 GN=TMED7 PE=1 SV=1	TMED7	Up	3.919498108501641
A0A8V0Z6B9	5	Dynein axonemal heavy chain 3 OS=Gallus gallus OX=9031 GN=DNAH3 PE=1 SV=1	DNAH3	Down	0.6559989865439962
Q5ZIB0	5	Stromal cell derived factor 2 like 1 OS=Gallus gallus OX=9031 GN=SDF2L1 PE=1 SV=1	SDF2L1	Down	0.5827106965971535
A0A8V1A1S6	5	Adenosylhomocysteinase like 1 OS=Gallus gallus OX=9031 GN=AHCYL1 PE=1 SV=1	AHCYL1	Up	2.3168102731295117
A0A8V1A3N1	5	receptor protein-tyrosine kinase OS=Gallus gallus OX=9031 GN=MST1R PE=1 SV=1	MST1R	Down	0.6064080509203509
A0A452J806	5	Obg-like ATPase 1 OS=Gallus gallus OX=9031 GN=OLA1 PE=1 SV=1	OLA1	Up	3.706865884027037
F1NLV4	5	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 OS=Gallus gallus OX=9031 GN=GNB1 PE=1 SV=2	GNB1	Up	1.5974943530220074
A0A8V0X354	5	Nitric oxide synthase OS=Gallus gallus OX=9031 GN=NOS1 PE=3 SV=1	NOS1	Up	3.1545617387945906
A0A8V0ZAL2	5	Long-chain-fatty-acid--CoA ligase OS=Gallus gallus OX=9031 GN=ACSL5 PE=1 SV=1	ACSL5	Up	3.5584857664256
A0A8V0XAF8	5	WD repeat-containing protein 35 OS=Gallus gallus OX=9031 GN=WDR35 PE=1 SV=1	WDR35	Down	0.5986174056956127
A0A8V0Z153	5	Myosin light chain kinase, smooth muscle OS=Gallus gallus OX=9031 GN=MYLK PE=3 SV=1	MYLK	Up	1.5134731675227084
A0A3Q3AST7	5	Bardet-Biedl syndrome 9 OS=Gallus gallus OX=9031 GN=BBS9 PE=1 SV=1	BBS9	Down	0.4928406274948936
A0A1D5PL88	5	Clathrin light chain OS=Gallus gallus OX=9031 GN=CLTB PE=1 SV=1	CLTB	Up	2.8392570498298024
A0A8V0XTM2	5	3'-phosphoadenosine 5'-phosphosulfate synthase 1 OS=Gallus gallus OX=9031 GN=PAPSS1 PE=1 SV=1	PAPSS1	Up	3.1462731701853617
A0A1D5PL45	5	Adenylosuccinate synthetase isozyme 2 OS=Gallus gallus OX=9031 GN=ADSS2 PE=3 SV=1	ADSS2	Up	2.2259331423113657
A0A8V0Y7Y9	5	GABA type A receptor associated protein like 2 OS=Gallus gallus OX=9031 GN=GABARAPL2 PE=1 SV=1	GABARAPL2	Down	0.5441941553650693
A0A8V0X2T8	5	Hydroxysteroid 17-beta dehydrogenase 10 OS=Gallus gallus OX=9031 GN=HSD17B10 PE=1 SV=1	HSD17B10	Up	2.6915646651270206
A0A8V1A8C9	5	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Gallus gallus OX=9031 PE=1 SV=1	--	Up	2.2997611516364342
A0A8V0Z4U2	5	Radial spoke head protein 9 homolog OS=Gallus gallus OX=9031 GN=RSPH9 PE=1 SV=1	RSPH9	Down	0.6414749916273531
A0A8V0ZZU1	5	small monomeric GTPase OS=Gallus gallus OX=9031 GN=RAB5B PE=1 SV=1	RAB5B	Down	0.4776971747954674
A0A3Q2UGR5	5	SC24C protein OS=Gallus gallus OX=9031 GN=SEC24C PE=1 SV=1	SEC24C	Up	3.0228619661650087
A0A8V0ZKI8	5	LDL receptor related protein 6 OS=Gallus gallus OX=9031 GN=LRP6 PE=4 SV=1	LRP6	Down	0.5994042412579937
A0A3Q2U2K2	5	Epsin 2 OS=Gallus gallus OX=9031 GN=EPN2 PE=1 SV=1	EPN2	Up	2.5541394064247394
A0A8V0XMA2	5	Beta 3-glucosyltransferase OS=Gallus gallus OX=9031 GN=B3GLCT PE=1 SV=1	B3GLCT	Down	0.5583714959755759
A0A8V0XH43	5	Complement C4 gamma chain OS=Gallus gallus OX=9031 GN=C4A PE=1 SV=1	C4A	Up	2.4009082096554297
Q5ZJR3	5	Oligosaccharyltransferase complex subunit OSTC OS=Gallus gallus OX=9031 GN=OSTC PE=2 SV=1	OSTC	Up	15.430080327727255
A0A8V0YKJ7	5	Branched-chain-amino-acid aminotransferase OS=Gallus gallus OX=9031 GN=BCAT1 PE=1 SV=1	BCAT1	Up	1.7572721297182423
A0A8V0XKE8	5	Complement factor I OS=Gallus gallus OX=9031 GN=CFI PE=1 SV=1	CFI	Up	1.8517136509190768
A0A8V0Z8R3	5	cAMP-dependent protein kinase type II-alpha regulatory subunit OS=Gallus gallus OX=9031 GN=PRKAR2A PE=1 SV=1	PRKAR2A	Up	1.7749869432669767
F1NCA2	5	Glycerol-3-phosphate dehydrogenase OS=Gallus gallus OX=9031 GN=GPD2 PE=1 SV=2	GPD2	Up	8.236896792493098
A0A8V0YMM6	5	Chordin OS=Gallus gallus OX=9031 GN=CHRD PE=4 SV=1	CHRD	Down	0.6498478546104239
A0A8V0X5U3	5	Nuclear mitotic apparatus protein 1 OS=Gallus gallus OX=9031 GN=NUMA1 PE=1 SV=1	NUMA1	Down	0.4790391186461178
A0A8V0Z9B8	5	ADAM metallopeptidase with thrombospondin type 1 motif 17 OS=Gallus gallus OX=9031 GN=ADAMTS17 PE=4 SV=1	ADAMTS17	Down	0.4505835877177232
A0A8V0ZRZ2	5	Small COPII coat GTPase SAR1A OS=Gallus gallus OX=9031 GN=SAR1A PE=1 SV=1	SAR1A	Up	3.065454052670411
A0A8V0X370	5	Dynein axonemal heavy chain 5 OS=Gallus gallus OX=9031 GN=DNAH5 PE=1 SV=1	DNAH5	Down	0.6538641181955354
F1NDP5	5	Thiosulfate sulfurtransferase OS=Gallus gallus OX=9031 GN=TST PE=1 SV=3	TST	Up	4.036380377713345
A0A8V0XXW6	5	Poly(U) binding splicing factor 60 OS=Gallus gallus OX=9031 GN=PUF60 PE=1 SV=1	PUF60	Down	0.6307032994155064
A0A3S5ZPN3	5	Probable ATP-dependent RNA helicase DDX5 OS=Gallus gallus OX=9031 GN=DDX5 PE=1 SV=1	DDX5	Up	6.660305873209728
A0A8V1A0M8	5	Glutathione hydrolase OS=Gallus gallus OX=9031 GN=GGT5 PE=1 SV=1	GGT5	Down	0.15143548462146944
A0A8V0ZI47	5	Galactosidase beta 1 like OS=Gallus gallus OX=9031 GN=GLB1L PE=1 SV=1	GLB1L	Down	0.6654270095886727
A0A8V0YZJ3	5	Beta-galactosidase OS=Gallus gallus OX=9031 GN=GLB1 PE=1 SV=1	GLB1	Down	0.5285791234551981
A0A8V1A3Y6	5	Cilia- and flagella-associated protein 91 OS=Gallus gallus OX=9031 GN=MAATS1 PE=1 SV=1	MAATS1	Down	0.6435757631547271
A0A8V0ZRN1	5	Thrombospondin type 1 domain containing 4 OS=Gallus gallus OX=9031 GN=THSD4 PE=4 SV=1	THSD4	Down	0.4454909955602478
P32882	5	Tubulin beta-2 chain OS=Gallus gallus OX=9031 PE=1 SV=1	--	Up	1.5660881735479355
A0A8V0XS64	4	G protein subunit gamma 10 OS=Gallus gallus OX=9031 GN=GNG10 PE=1 SV=1	GNG10	Up	1.8380978788923983
A0A8V0XM35	4	Adenosylhomocysteinase like 2 OS=Gallus gallus OX=9031 GN=AHCYL2 PE=1 SV=1	AHCYL2	Up	1.9822860716650723
A0A8V0Y1N7	4	Dynein axonemal intermediate chain 1 OS=Gallus gallus OX=9031 GN=DNAI1 PE=1 SV=1	DNAI1	Down	0.458733833379634
A0A8V0Y8G8	4	Dynein axonemal heavy chain 7 OS=Gallus gallus OX=9031 GN=DNAH7 PE=1 SV=1	DNAH7	Down	0.5562421740160413
A0A3S5ZPV2	4	ENAH actin regulator OS=Gallus gallus OX=9031 GN=ENAH PE=1 SV=1	ENAH	Up	2.2239711491306413
A0A1D5PBY3	4	Thioredoxin-dependent peroxide reductase, mitochondrial OS=Gallus gallus OX=9031 GN=PRDX3 PE=1 SV=2	PRDX3	Up	5.055366360033152
A0A8V0X5E1	4	Neuropeptide Y OS=Gallus gallus OX=9031 GN=NPY PE=3 SV=1	NPY	Up	2.80048130569979
C7G540	4	Ovocalyxin-32 OS=Gallus gallus OX=9031 GN=OCX32 PE=1 SV=1	OCX32	Down	0.4877690636094543
Q90YI1	4	Ovocalyxin-32 OS=Gallus gallus OX=9031 PE=1 SV=1	--	Down	0.5979397581235639
A0A8V0XTT7	4	Angiotensinogen OS=Gallus gallus OX=9031 GN=AGT PE=1 SV=1	AGT	Up	1.6128359469876972
A0A8V0Z9Z7	4	Centromere protein F OS=Gallus gallus OX=9031 GN=CENPF PE=4 SV=1	CENPF	Down	0.1405469130692208
A0A8V1A9A7	4	LDL receptor related protein 5 OS=Gallus gallus OX=9031 GN=LRP5 PE=4 SV=1	LRP5	Down	0.5906591089292643
A0A1D5P797	4	Spectrin beta chain OS=Gallus gallus OX=9031 GN=SPTBN1 PE=1 SV=2	SPTBN1	Up	3.2021015761821374
A0A1D5PXH0	4	AP complex subunit beta OS=Gallus gallus OX=9031 GN=AP1B1 PE=1 SV=2	AP1B1	Up	2.621714058359496
A0A8V0ZZG2	4	E3 ubiquitin-protein ligase OS=Gallus gallus OX=9031 GN=ITCH PE=1 SV=1	ITCH	Down	0.6298832210310201
A0A1D5NV75	4	NSF attachment protein alpha OS=Gallus gallus OX=9031 GN=NAPA PE=3 SV=2	NAPA	Up	2.392803986585779
A0A8V0ZG46	4	Cytosolic purine 5'-nucleotidase OS=Gallus gallus OX=9031 GN=NT5C2 PE=3 SV=1	NT5C2	Down	0.5090646354306988
A0A8V0Y4Q2	4	Thyroglobulin OS=Gallus gallus OX=9031 GN=TG PE=3 SV=1	TG	Down	0.043033604735383
A0A8V0ZHL4	4	Prolyl 4-hydroxylase subunit alpha 1 OS=Gallus gallus OX=9031 GN=P4HA1 PE=1 SV=1	P4HA1	Down	0.6167069127818933
A0A8V0ZX20	4	Poly(rC) binding protein 2 OS=Gallus gallus OX=9031 GN=PCBP2 PE=1 SV=1	PCBP2	Up	2.636875708069076
A0A8V0YYD5	4	Cilia and flagella associated protein 65 OS=Gallus gallus OX=9031 GN=CFAP65 PE=4 SV=1	CFAP65	Down	0.4317374895623073
A0A8V0Z6Q2	4	Ketimine reductase mu-crystallin OS=Gallus gallus OX=9031 GN=CRYM PE=1 SV=1	CRYM	Up	2.842100600769887
A0A8V0X7N6	4	HECT-type E3 ubiquitin transferase OS=Gallus gallus OX=9031 GN=LOC100859273 PE=1 SV=1	LOC100859273	Up	7.4156314301119055
A0A8V0YI20	4	Ubiquitin-conjugating enzyme E2 variant 1 OS=Gallus gallus OX=9031 GN=UBE2V1 PE=4 SV=1	UBE2V1	Up	1.5914266797261878
A0A8V1A472	4	Tropomyosin 3 OS=Gallus gallus OX=9031 GN=TPM3 PE=1 SV=1	TPM3	Up	1.7409675092619918
A0A8V1A3Y9	4	Fanconi anemia complementation group D2 OS=Gallus gallus OX=9031 GN=FANCD2 PE=4 SV=1	FANCD2	Up	2.9539545822848146
A0A8V0ZK24	4	Keratin 13 OS=Gallus gallus OX=9031 GN=KRT13 PE=1 SV=1	KRT13	Up	3.929352489092536
Q5ZJT7	4	Elongin-C OS=Gallus gallus OX=9031 GN=TCEB1 PE=1 SV=1	TCEB1	Up	2.0441903562561268
A0A8V0XBS7	4	Serum/glucocorticoid regulated kinase family, member 3 OS=Gallus gallus OX=9031 GN=SGK3 PE=1 SV=1	SGK3	Up	1.9033857899537776
A0A1D5PFM9	4	Gastrokine 2 OS=Gallus gallus OX=9031 GN=GKN2 PE=4 SV=1	GKN2	Up	2.449992169963982
F1NSM7	4	Ovocleidin-116 OS=Gallus gallus OX=9031 PE=1 SV=1	--	Down	0.3838366873571306
A0A8V0YRQ0	4	BPI fold containing family B member 3 OS=Gallus gallus OX=9031 GN=BPIFB3 PE=1 SV=1	BPIFB3	Down	0.2769225402647106
A0A8V1A4P1	4	IF rod domain-containing protein OS=Gallus gallus OX=9031 GN=KRT75L2 PE=3 SV=1	KRT75L2	Up	4.936338638621437
A0A8V0Y1R9	4	Cysteine rich with EGF like domains 2 OS=Gallus gallus OX=9031 GN=CRELD2 PE=1 SV=1	CRELD2	Up	1.6041703726943115
A0A1L1RZK1	4	Lactoylglutathione lyase OS=Gallus gallus OX=9031 GN=GLO1 PE=1 SV=2	GLO1	Up	4.645334799275148
Q98953	4	Protein S100-A6 OS=Gallus gallus OX=9031 GN=S100A6 PE=3 SV=1	S100A6	Up	2.578062978674533
A0A8V0ZC57	4	Cilia- and flagella-associated protein 43 OS=Gallus gallus OX=9031 GN=CFAP43 PE=1 SV=1	CFAP43	Down	0.6364771460423634
A0A1D5PM19	4	Myosin-9 OS=Gallus gallus OX=9031 GN=MYH9 PE=1 SV=2	MYH9	Up	2.611329334267125
A0A8V0ZW46	4	UDP-glucose glycoprotein glucosyltransferase 1 OS=Gallus gallus OX=9031 GN=UGGT1 PE=1 SV=1	UGGT1	Down	0.636361626516876
E1C2T4	4	Hexosyltransferase OS=Gallus gallus OX=9031 GN=CSGALNACT2 PE=3 SV=2	CSGALNACT2	Down	0.4423492252315076
P81475	4	Complement factor B-like protease (Fragment) OS=Gallus gallus OX=9031 PE=1 SV=1	--	Up	1.5292360152634572
